"code","pop","depense_hab","remboursement_hab","boites_hab","nom"
11,12246234,"314.707","263.2217209",0.782,"Île-de-France"
24,2582522,"329.876","272.3309852",0.979,"Centre - Val de Loire"
27,2813289,"336.441","277.0477202",1.062,"Bourgogne- Franche-Comté"
28,3342467,"332.547","272.3172787",1.095,"Normandie"
32,6023336,"357.435","290.7576471",0.913,"Hauts-de-France"
44,5548090,"349.928","289.025728",0.841,"Grand Est"
52,3787411,"284.916","234.6492184",0.931,"Pays de la Loire"
53,3336643,"301.469","249.3449943",1.039,"Bretagne"
75,5994336,"345.196","283.350475",1.079,"Nouvelle Aquitaine"
76,5903190,"337.961","279.5452811",0.969,"Occitanie"
84,8037059,"295.803","245.8705605",0.991,"Auvergne-Rhône-Alpes"
93,5065723,"404.226","340.0647141",1.102,"Provence-Alpes-Côte d'Azur"
